Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
BOI AXA Credit Risk - Regular Plan - GrowthCredit Risk Fund,1,71.93,0.11%,1.56%,5.38%,6.37%,1.89%,14.42%,-41.74%,-32.13%,-17.72%,-,0.14%,0.64%,0.78%,-0.30%,-0.26%,0.17%,0.54%,0.76%,0.03%,0.19%,0.84%,1.47%,0.79%,-0.03%,1.48%,1.26%,3.39%,1.45%,1.52%,2.05%,-2.95%,-5.19%,2.90%,-0.77%,2.14%,-2.97%,-4.75%,6.69%,6.44%,9.86%,9.40%,9.41%,-,-,-,-,8/18,11/18,10/18,5/18,11/18,11/18,13/16,13/16,12/15,0/0,,,,,,-,-,-,95.91%,11,-,4.09%,-,0.1097,-,12-May-21,0.1515,19-May-20,0.1097,27-Jan-21,3.81%,5.86%,8.00%,14.31%,-
Axis Credit Risk Fund - Direct Plan - GrowthCredit Risk Fund,4,620.52,0.10%,0.87%,2.39%,4.13%,1.24%,10.45%,7.34%,7.74%,8.04%,-,0.18%,0.74%,0.88%,-0.22%,-0.18%,0.26%,0.63%,0.85%,0.12%,0.28%,0.93%,1.56%,0.92%,0.24%,1.77%,1.55%,3.74%,1.77%,1.78%,2.30%,-2.72%,-4.98%,3.09%,-0.58%,1.87%,-3.58%,-5.40%,5.60%,5.20%,8.90%,8.53%,8.71%,-,-,-,-,8/19,11/19,10/19,6/19,11/19,11/19,13/16,13/16,12/15,6/6,,,,,,-,-,-,85.29%,26,-,14.71%,-,0.1254,-,12-May-21,0.1631,14-Sep-20,0.1214,27-Jan-21,3.96%,7.34%,11.53%,19.53%,50.47%
Invesco India Credit Risk Fund - Direct Plan - GrowthCredit Risk Fund,5,129.98,0.08%,0.61%,1.68%,1.84%,0.92%,7.17%,5.60%,3.09%,5.36%,-,0.33%,0.70%,0.65%,0.07%,0.30%,0.47%,0.96%,1.12%,0.63%,0.08%,1.34%,1.40%,1.03%,0.96%,2.60%,2.37%,2.02%,2.18%,2.69%,2.41%,1.73%,2.18%,2.22%,1.23%,3.93%,-1.15%,4.01%,6.06%,8.47%,11.08%,11.76%,3.71%,-,-,-,-,14/18,18/18,6/18,4/18,13/18,12/18,12/16,10/16,9/15,0/0,,,,,,-,-,-,92.01%,61,-,7.99%,-,0.1182,-,12-May-21,0.1538,15-Sep-20,0.1145,27-Jan-21,3.93%,8.30%,12.29%,20.11%,52.59%
Baroda Credit Risk Fund - Plan B (Direct) - GrowthCredit Risk Fund,5,178.46,0.08%,0.58%,5.86%,8.40%,1.00%,16.02%,5.61%,5.98%,7.63%,-,0.35%,0.75%,0.70%,0.11%,0.35%,0.54%,1.01%,1.18%,0.68%,0.13%,1.39%,1.45%,1.11%,1.13%,2.79%,2.54%,2.17%,2.33%,2.82%,2.54%,1.89%,2.39%,2.46%,1.49%,3.49%,-2.29%,2.99%,4.99%,7.27%,9.92%,10.71%,3.48%,-,-,-,-,14/19,18/19,6/19,4/19,14/19,12/19,12/16,10/16,9/15,0/0,,,,,,-,-,-,94.70%,20,-,5.30%,-,0.1254,-,12-May-21,0.1631,14-Sep-20,0.1214,27-Jan-21,3.45%,7.60%,12.55%,-,-
Axis Credit Risk Fund - GrowthCredit Risk Fund,4,620.52,0.08%,0.77%,2.12%,3.56%,1.11%,9.25%,6.14%,6.52%,6.72%,-,0.24%,0.68%,0.68%,0.49%,0.49%,0.69%,0.92%,1.20%,0.77%,0.58%,0.70%,1.17%,0.92%,1.74%,2.91%,2.16%,0.49%,-11.11%,0.53%,1.47%,-2.27%,2.17%,2.18%,1.41%,1.64%,4.77%,4.37%,-2.72%,6.43%,10.56%,9.57%,10.72%,8.05%,8.84%,8.48%,5.24%,15/19,14/19,16/19,13/19,12/19,13/19,5/16,5/16,0/0,0/0,,,,,,-,-,-,81.24%,17,-,18.76%,-,0.1182,-,12-May-21,0.1538,15-Sep-20,0.1145,27-Jan-21,3.42%,5.86%,7.21%,10.93%,-
UTI Credit Risk Fund - Direct Plan - GrowthCredit Risk Fund,1,318.83,0.08%,0.61%,1.74%,2.79%,0.96%,-1.94%,-16.52%,-9.35%,-2.41%,-,0.26%,0.74%,0.73%,0.53%,0.54%,0.74%,0.97%,1.25%,0.82%,0.64%,0.75%,1.22%,0.99%,1.89%,3.07%,2.32%,0.64%,-10.96%,0.69%,1.62%,-2.13%,2.36%,2.39%,1.62%,1.93%,5.55%,5.30%,-2.09%,7.09%,11.25%,10.11%,11.27%,8.72%,-,-,-,15/18,15/18,16/18,11/18,12/18,13/18,5/16,4/16,0/0,0/0,,,,,,-,-,-,95.48%,45,-,4.52%,-,0.1097,-,12-May-21,0.1515,19-May-20,0.1097,27-Jan-21,3.32%,4.88%,6.59%,12.03%,38.58%
Baroda Credit Risk Fund - Plan A - GrowthCredit Risk Fund,5,178.46,0.07%,0.52%,5.67%,8.02%,0.91%,15.19%,4.78%,5.11%,6.58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.92%,-44.31%,-45.10%,-0.20%,9.46%,11.30%,7.55%,-,-,-,-,-,1/19,12/19,18/19,14/19,18/19,14/19,9/16,11/16,11/15,5/6,,,,,,-,-,-,95.91%,11,-,4.09%,-,23.5681,-,12-May-21,23.5681,11-May-21,21.3025,01-Jun-20,3.00%,5.02%,5.91%,8.78%,32.63%
PGIM India Credit Risk Fund- Direct Plan - GrowthCredit Risk Fund,2,45.55,0.07%,0.42%,2.69%,6.02%,1.03%,9.23%,2.72%,3.73%,5.71%,-,0.34%,0.94%,-,-,-,-,-,-,-,-,-,-,1.29%,-,-,-,-,-,-,-,-,-,-,-,5.81%,-44.47%,-45.24%,-0.38%,9.32%,11.16%,7.44%,-,-,-,-,-,1/18,12/18,18/18,14/18,18/18,14/18,9/16,12/16,11/15,0/0,,,,,,-,-,-,80.50%,36,-,19.50%,-,32.1678,-0%,12-May-21,32.168,11-May-21,29.926,18-May-20,2.92%,6.55%,10.91%,-,-
UTI Credit Risk Fund - GrowthCredit Risk Fund,1,318.83,0.06%,0.54%,1.54%,2.36%,0.86%,-2.75%,-17.23%,-10.18%,-3.39%,-,0.34%,0.94%,0.86%,0.78%,-24.17%,0.73%,0.74%,0.68%,-3.59%,0.79%,0.73%,0.73%,1.29%,-22.72%,2.23%,-2.12%,2.31%,-,-,-,-,-,-,-,1.50%,-27.84%,-4.79%,5.39%,6.90%,10.24%,8.81%,11.41%,7.56%,1.09%,-,-,13/19,16/19,15/19,16/19,16/19,15/19,8/16,12/16,10/15,2/8,,,,,,-,-,-,97.13%,1,-,2.87%,-,15.8915,-0%,12-May-21,15.8917,11-May-21,14.4878,27-May-20,2.73%,7.05%,7.83%,11.81%,-
Invesco India Credit Risk Fund - Regular Plan - GrowthCredit Risk Fund,5,129.98,0.06%,0.51%,1.39%,1.27%,0.78%,5.94%,4.40%,2.03%,4.40%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-24.45%,-,-,-,-,-,-,-,-,-,-,1.78%,-27.24%,-3.87%,6.51%,8.18%,11.50%,10.00%,12.81%,9.04%,-,-,-,11/18,14/18,15/18,16/18,16/18,15/18,8/16,11/16,10/15,0/0,,,,,,-,-,-,89.30%,97,-,9.26%,1.44%,22.4738,-0%,12-May-21,22.4743,11-May-21,20.5101,01-Jun-20,2.13%,5.78%,6.00%,8.94%,-
