Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Nippon India Strategic Debt Fund - GrowthMedium Duration Fund,1,262.87,0.18%,0.61%,1.44%,2.55%,0.95%,3.31%,-12.96%,-8.20%,-2.09%,-,0.17%,0.73%,0.57%,-0.38%,-0.08%,0.54%,0.77%,1.80%,0.43%,-0.20%,0.96%,1.53%,1.38%,0.48%,3.35%,2.42%,1.69%,2.70%,2.39%,2.31%,2.30%,2.57%,2.53%,1.38%,0.74%,12.11%,11.23%,6.10%,7.64%,13.97%,6.56%,16.57%,3.71%,13.97%,1.34%,4.43%,9/18,9/18,7/18,4/18,10/18,6/17,6/14,5/14,2/14,0/0,,,,,,-,-,-,97.85%,39,-,2.15%,-,10.3709,0.03%,12-May-21,10.3709,12-May-21,10.0,14-Sep-20,3.98%,8.95%,8.20%,11.24%,-
ICICI Prudential Medium Term Bond Fund - GrowthMedium Duration Fund,3,6542.22,0.18%,0.88%,2.36%,3.03%,1.34%,10.82%,9.84%,8.49%,8.06%,8.50%,0.19%,0.78%,0.62%,-0.34%,-0.04%,0.59%,0.81%,1.84%,0.47%,-0.16%,0.99%,1.56%,1.17%,-0.16%,3.35%,1.74%,1.03%,1.75%,2.54%,2.34%,-0.35%,2.19%,2.20%,1.15%,0.95%,12.62%,11.57%,7.07%,8.55%,15.49%,7.25%,17.18%,3.20%,-,-,-,10/18,9/18,7/18,4/18,10/18,6/17,6/14,5/14,2/14,0/0,,,,,,-,-,-,96.01%,19,-,3.98%,-,10.3362,0.03%,12-May-21,10.3382,08-Jan-21,10.0,14-Sep-20,4.09%,9.02%,13.44%,22.10%,-
HDFC Medium Term Debt Fund - Direct Plan - GrowthMedium Duration Fund,4,3068.84,0.17%,0.91%,2.14%,3.15%,1.41%,10.77%,9.82%,9.22%,8.72%,-,0.16%,0.67%,0.75%,-0.06%,-0.20%,0.76%,0.73%,1.34%,-1.77%,0.29%,-0.92%,0.64%,1.28%,0.06%,3.61%,1.98%,1.28%,1.95%,2.74%,2.54%,-0.15%,2.41%,2.40%,1.32%,1.26%,-23.62%,-3.31%,4.61%,6.91%,11.05%,8.86%,6.43%,-,-,-,-,1/18,2/18,5/18,6/18,2/18,7/17,13/14,13/14,13/14,0/0,,,,,,-,-,-,97.21%,72,-,2.79%,-,16.8543,0.01%,12-May-21,16.8543,12-May-21,15.0517,18-May-20,3.49%,7.32%,11.05%,18.30%,-
SBI Magnum Medium Duration Fund - Direct Plan - GrowthMedium Duration Fund,4,8879.92,0.17%,0.68%,1.57%,2.01%,1.02%,9.34%,10.95%,10.12%,10.20%,-,0.18%,0.71%,0.80%,-0.02%,-0.16%,0.81%,0.78%,1.39%,-1.72%,0.34%,-0.88%,0.68%,1.31%,0.88%,2.67%,2.85%,1.37%,2.72%,2.92%,2.47%,1.52%,1.94%,1.83%,1.21%,1.46%,-23.16%,-2.49%,5.68%,7.95%,12.02%,9.73%,6.85%,-,-,-,-,6/18,12/18,13/18,10/18,15/18,7/17,1/14,1/14,1/14,1/8,,,,,,-,-,-,83.92%,5,-,16.08%,-,15.9476,0.01%,12-May-21,15.9476,12-May-21,14.3747,18-May-20,3.44%,9.57%,15.91%,27.13%,-
SBI Magnum Medium Duration Fund - Regular Plan - GrowthMedium Duration Fund,4,8879.92,0.16%,0.63%,1.42%,1.72%,0.95%,8.78%,10.46%,9.56%,9.39%,9.34%,0.24%,0.96%,-,-,-,-,-,-,-,-,-,-,1.39%,1.07%,2.85%,3.02%,1.52%,2.87%,3.05%,2.62%,1.69%,2.13%,2.03%,1.38%,-21.75%,-,-,-,-,-,-,-,-,-,-,-,8/18,12/18,13/18,10/18,15/18,8/17,1/14,1/14,1/14,0/0,,,,,,-,-,-,94.78%,92,-,5.22%,-,22.8213,0%,12-May-21,22.8213,12-May-21,20.7932,18-May-20,3.44%,7.86%,6.65%,8.63%,29.68%
HDFC Medium Term Debt Fund - GrowthMedium Duration Fund,4,3068.84,0.15%,0.83%,1.93%,2.73%,1.31%,9.86%,8.93%,8.34%,7.93%,8.47%,0.45%,0.92%,-,-,-,-,-,-,-,-,-,-,0.83%,0.31%,2.92%,-2.27%,0.44%,-24.48%,-0.51%,1.12%,-5.91%,1.99%,1.89%,1.13%,-21.73%,-,-,-,-,-,-,-,-,-,-,-,3/18,4/18,5/18,7/18,2/18,8/17,13/14,13/14,13/14,8/8,,,,,,-,-,-,97.13%,1,-,2.87%,-,0.0863,0.12%,12-May-21,0.1101,25-Jan-21,0.0835,27-Jan-21,3.37%,9.35%,15.43%,25.55%,63.16%
Union Medium Duration Fund - Direct Plan - GrowthMedium Duration Fund,-,363.61,0.08%,0.94%,1.92%,1.80%,1.34%,-,-,-,-,-,0.25%,0.93%,0.64%,-0.74%,-0.11%,0.40%,0.55%,1.20%,-0.16%,-1.03%,0.71%,0.97%,0.90%,0.44%,3.06%,-2.14%,0.58%,-24.33%,-0.31%,1.33%,-5.72%,2.23%,2.13%,1.41%,0.41%,7.57%,-2.94%,4.67%,5.91%,9.20%,7.69%,9.50%,-,-,-,-,10/18,16/18,11/18,8/18,16/18,9/17,9/14,9/14,9/14,7/8,,,,,,-,-,-,97.16%,1,-,2.84%,-,0.083,-,12-May-21,0.1062,22-Jan-21,0.0804,27-Jan-21,2.79%,7.42%,10.17%,16.32%,-
Axis Strategic Bond Fund - Direct Plan - GrowthMedium Duration Fund,4,1360.73,0.08%,0.83%,1.99%,3.25%,1.19%,9.94%,8.84%,8.82%,8.93%,-,0.27%,0.98%,0.69%,-0.70%,-0.06%,0.45%,0.59%,1.24%,-0.12%,-0.99%,0.75%,1.00%,1.20%,-,-,-,-,-,-,-,-,-,-,-,0.62%,8.10%,-2.30%,5.49%,6.72%,9.96%,8.80%,10.18%,-,-,-,-,11/18,17/18,11/18,9/18,16/18,9/17,9/14,9/14,10/14,0/0,,,,,,-,-,-,78.65%,27,19.66%,1.69%,-,0.7853,-,12-May-21,0.7854,09-Jun-20,0.7853,19-May-20,2.82%,7.29%,9.76%,15.31%,41.38%
Union Medium Duration Fund - Regular Plan - GrowthMedium Duration Fund,-,363.61,0.07%,0.89%,1.80%,1.55%,1.28%,-,-,-,-,-,0.57%,0.83%,0.80%,-0.32%,0.01%,0.29%,0.70%,1.40%,0.05%,-0.18%,1.08%,2.11%,1.20%,-22.68%,2.28%,-2.59%,2.28%,-,-,-,-,-,-,-,1.61%,11.27%,-9.45%,5.16%,4.67%,11.25%,6.27%,12.37%,6.79%,8.80%,7.35%,4.51%,15/18,8/18,15/18,12/18,9/18,10/17,4/14,3/14,5/14,4/8,,,,,,-,-,-,93.60%,49,-,5.23%,1.17%,0.8373,-,12-May-21,0.8373,19-May-20,0.8373,19-May-20,2.48%,7.76%,13.53%,22.86%,-
Axis Strategic Bond Fund - GrowthMedium Duration Fund,4,1360.73,0.06%,0.76%,1.81%,2.88%,1.10%,9.16%,8.09%,8.08%,8.20%,-,-,-,-,-,-,-,-,-,-,-,-,-,1.37%,-,-,-,-,-,-,-,-,-,-,-,-,-25.69%,-19.53%,-,-,-,-,-,-,-,-,-,16/18,8/18,16/18,12/18,9/18,10/17,5/14,4/14,5/14,0/0,,,,,,-,-,-,96.04%,16,-,3.96%,-,21.3574,-,12-May-21,21.3574,11-May-21,19.5949,18-May-20,2.24%,5.88%,10.28%,18.30%,-
