Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
SBI Short Term Debt Fund - Direct Plan - GrowthShort Duration Fund,3,24927.25,0.09%,0.66%,1.22%,1.52%,0.89%,6.72%,8.96%,8.63%,8.17%,-,0.21%,0.76%,0.63%,-0.26%,-0.06%,0.48%,0.80%,1.16%,0.10%,-0.04%,1.37%,1.57%,0.97%,0.06%,2.46%,1.84%,3.66%,2.29%,2.34%,2.64%,1.91%,2.36%,2.57%,1.51%,1.36%,7.43%,8.80%,7.02%,7.63%,9.45%,8.55%,9.46%,7.84%,9.17%,8.29%,1.30%,10/27,19/27,9/26,6/26,7/27,6/26,3/26,5/25,6/24,0/0,8.83,1.02,0.03,-4.83,0.0,-,-,-,93.79%,58,-,6.21%,-,38.2208,0.02%,12-May-21,38.2208,12-May-21,35.9015,18-May-20,3.56%,9.16%,14.72%,24.39%,-
BNP Paribas Short Term Fund - Direct Plan - GrowthShort Duration Fund,3,342.26,0.09%,0.77%,1.82%,2.10%,0.99%,8.38%,8.53%,8.48%,8.02%,-,0.23%,0.80%,0.67%,-0.23%,-0.02%,0.53%,0.84%,1.20%,0.14%,0.01%,1.41%,1.60%,1.03%,0.18%,2.59%,1.97%,3.71%,2.34%,2.38%,2.67%,1.95%,2.40%,2.60%,1.55%,1.65%,8.21%,9.50%,7.78%,8.41%,10.21%,9.21%,10.27%,7.82%,-,-,-,24/27,8/27,11/26,6/26,5/27,6/26,19/26,18/25,18/24,19/22,4.23,1.22,0.38,-4.45,0.01,-,-,-,93.79%,58,-,6.21%,-,32.593,0.02%,12-May-21,32.593,12-May-21,30.6377,18-May-20,3.51%,8.24%,13.25%,21.33%,51.40%
UTI Short Term Income Fund - Direct Plan - GrowthShort Duration Fund,3,3385.24,0.09%,0.66%,1.56%,2.05%,0.92%,7.78%,2.99%,4.31%,5.71%,-,0.19%,0.65%,0.73%,-0.12%,-0.27%,0.22%,0.76%,0.83%,0.13%,0.07%,0.85%,1.64%,0.84%,0.14%,1.82%,1.27%,3.93%,2.13%,2.01%,2.79%,1.68%,2.80%,2.75%,1.41%,0.89%,8.88%,8.54%,5.57%,7.04%,8.91%,5.23%,8.64%,5.62%,9.75%,4.65%,-,26/27,11/27,13/26,8/26,5/27,7/26,19/26,18/25,17/24,0/0,1.33,0.42,1.63,0.07,0.05,-,-,-,58.02%,8,-,41.98%,-,36.9056,0.01%,12-May-21,36.9056,12-May-21,33.5751,18-May-20,3.22%,7.21%,9.63%,16.53%,-
SBI Short Term Debt Fund - Regular Plan - GrowthShort Duration Fund,3,24927.25,0.08%,0.62%,1.10%,1.27%,0.83%,6.18%,8.42%,8.06%,7.57%,8.29%,0.21%,0.69%,0.77%,-0.09%,-0.23%,0.26%,0.80%,0.87%,0.17%,0.11%,0.89%,1.69%,0.90%,0.26%,1.95%,1.41%,4.06%,2.26%,2.14%,2.78%,1.81%,2.90%,2.88%,1.54%,1.13%,9.57%,9.32%,6.35%,7.89%,9.82%,5.79%,9.59%,6.39%,-,-,-,4/27,11/27,12/26,3/26,11/27,7/26,2/26,2/25,2/24,3/22,1.94,1.05,2.17,-1.01,0.04,-,-,-,81.75%,16,-,18.25%,-,36.723,0.01%,12-May-21,36.723,12-May-21,32.3089,18-May-20,3.21%,8.51%,13.28%,22.23%,-
Mahindra Manulife Short Term Fund - Regular Plan - GrowthShort Duration Fund,-,154.71,0.08%,0.64%,-,-,0.87%,-,-,-,-,-,0.19%,0.63%,0.39%,-0.31%,-0.15%,0.41%,0.67%,1.20%,0.02%,-0.48%,0.93%,1.36%,0.82%,-0.34%,2.29%,0.96%,3.99%,1.96%,1.94%,2.80%,1.78%,2.52%,2.46%,1.29%,0.83%,9.58%,9.35%,6.41%,5.80%,8.67%,8.11%,10.37%,7.95%,9.98%,-,-,2/27,3/27,2/26,2/26,3/27,8/26,5/26,6/25,7/24,0/0,1.7,0.23,2.27,2.37,0.17,-,-,-,90.57%,119,-,9.43%,-,34.7154,0.01%,12-May-21,34.7154,12-May-21,30.6676,18-May-20,3.34%,8.63%,13.92%,22.61%,54.45%
Axis Short Term Fund - GrowthShort Duration Fund,3,11596.29,0.08%,0.60%,1.33%,1.79%,0.86%,7.46%,8.89%,8.55%,7.86%,8.40%,0.20%,0.67%,0.43%,-0.27%,-0.11%,0.45%,0.71%,1.24%,0.06%,-0.44%,0.97%,1.40%,0.88%,-0.22%,2.42%,1.08%,4.12%,2.09%,2.07%,2.77%,1.87%,2.68%,2.61%,1.44%,1.01%,10.09%,9.86%,6.95%,6.33%,9.21%,8.65%,10.92%,8.16%,-,-,-,2/27,4/27,2/26,2/26,4/27,8/26,5/26,7/25,8/24,5/22,9.08,1.18,-0.69,-12.15,-0.05,-,-,-,94.76%,237,-,5.24%,-,24.5967,0.02%,12-May-21,24.5967,12-May-21,22.8433,18-May-20,3.08%,7.28%,12.25%,22.15%,-
HDFC Short Term Debt Fund - Direct Plan - GrowthShort Duration Fund,2,17442.84,0.08%,0.65%,1.67%,2.29%,1.05%,8.97%,9.69%,9.19%,8.46%,-,0.32%,0.83%,0.92%,0.06%,-0.12%,0.45%,0.85%,1.15%,0.23%,0.02%,0.96%,1.65%,1.15%,0.68%,2.46%,1.55%,3.60%,2.06%,2.25%,2.86%,1.92%,2.68%,2.69%,1.29%,0.92%,7.73%,-0.54%,5.35%,6.83%,9.89%,8.28%,10.58%,7.98%,9.81%,8.93%,4.87%,8/27,6/27,3/26,11/26,12/27,9/26,15/26,13/25,12/24,10/22,1.85,0.99,2.12,-0.99,0.04,-,-,-,89.48%,50,8.40%,2.12%,-,33.8329,0.01%,12-May-21,33.833,10-May-21,29.3539,18-May-20,3.07%,8.52%,14.20%,24.00%,-
Invesco India Short Term Fund - Direct Plan - GrowthShort Duration Fund,1,1200.53,0.08%,0.70%,1.59%,1.85%,1.00%,7.26%,9.04%,8.74%,8.08%,-,0.30%,0.76%,0.85%,-,-0.18%,0.38%,0.78%,1.09%,0.17%,-0.05%,0.89%,1.58%,1.06%,0.48%,2.24%,1.34%,3.39%,1.85%,2.04%,2.66%,1.75%,2.51%,2.52%,1.11%,1.18%,8.56%,0.17%,6.37%,7.71%,10.84%,9.19%,11.51%,8.85%,-,-,-,8/27,7/27,4/26,11/26,12/27,9/26,14/26,13/25,14/24,0/0,2.19,-,2.18,-,4.1,-,-,-,96.21%,68,-,3.79%,-,43.8859,0.01%,12-May-21,43.8859,12-May-21,40.7885,18-May-20,3.28%,8.69%,14.10%,23.48%,55.49%
BNP Paribas Short Term Fund - GrowthShort Duration Fund,3,342.26,0.08%,0.70%,1.64%,1.75%,0.91%,7.66%,7.72%,7.61%,7.34%,8.14%,0.19%,0.80%,0.67%,-0.23%,-0.25%,0.31%,0.88%,1.14%,-0.13%,-0.43%,1.10%,1.75%,0.99%,-0.03%,2.35%,0.95%,4.09%,2.43%,1.93%,2.95%,1.96%,2.81%,2.56%,1.35%,0.76%,9.36%,9.09%,5.72%,5.72%,8.83%,8.13%,10.56%,7.71%,9.44%,8.74%,5.54%,7/27,18/27,20/26,9/26,16/27,10/26,4/26,4/25,4/24,4/22,5.92,1.13,-0.04,-5.84,-0.0,-,-,-,84.84%,19,-,15.16%,-,21.8653,0.02%,12-May-21,21.8653,12-May-21,20.5473,18-May-20,3.00%,6.64%,8.64%,14.23%,38.11%
UTI Short Term Income Fund - Institutional - GrowthShort Duration Fund,3,3385.24,0.08%,0.61%,1.41%,1.76%,0.85%,7.22%,2.51%,3.82%,5.21%,7.52%,0.16%,0.73%,0.60%,-0.28%,-0.31%,0.24%,0.81%,1.08%,-0.20%,-0.50%,1.03%,1.68%,0.89%,-0.24%,2.13%,0.74%,3.87%,2.22%,1.72%,2.73%,1.74%,2.59%,2.34%,1.13%,1.00%,10.05%,9.91%,6.51%,6.58%,9.79%,8.88%,11.11%,8.25%,-,-,-,6/27,15/27,18/26,9/26,18/27,10/26,4/26,3/25,3/24,0/0,1.89,-,2.36,-,3.56,-,-,-,94.76%,237,-,5.24%,-,23.6587,0.01%,12-May-21,23.6587,12-May-21,22.0865,18-May-20,2.95%,7.80%,8.52%,13.42%,-
