Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
DSP Corporate Bond Fund - Direct Plan - GrowthCorporate Bond Fund,5,2648.81,0.05%,0.45%,1.28%,1.84%,0.55%,7.23%,9.19%,-,-,-,0.09%,0.44%,0.48%,0.28%,-0.05%,0.20%,0.64%,0.72%,0.24%,0.33%,0.77%,1.61%,0.73%,0.49%,2.26%,1.41%,4.27%,1.84%,2.16%,2.54%,2.01%,1.63%,1.63%,1.63%,1.23%,-,-,-,-,-,-,-,-,-,-,-,6/22,13/22,16/21,17/21,10/22,15/20,8/19,0/0,0/0,0/0,,,,,,-,-,-,93.08%,82,-,6.92%,-,13.3988,-0.01%,12-May-21,13.9625,14-Jul-20,12.941,22-Jul-20,2.52%,7.30%,9.55%,15.68%,-
IDFC Corporate Bond Fund - Direct Plan - GrowthCorporate Bond Fund,4,22564.68,0.05%,0.85%,2.00%,2.12%,1.23%,8.76%,9.22%,8.96%,8.43%,-,0.23%,0.67%,0.84%,-0.43%,-0.18%,0.29%,0.65%,1.26%,-0.01%,-0.40%,1.03%,1.35%,0.76%,0.57%,2.34%,1.49%,4.35%,1.92%,2.24%,2.62%,2.09%,2.75%,2.32%,1.60%,1.35%,10.71%,10.20%,6.65%,6.60%,10.17%,8.99%,10.34%,9.19%,-,-,-,10/22,17/22,19/21,20/21,19/22,16/20,18/19,14/15,13/14,11/11,,,,,,-,-,-,96.02%,78,-,3.98%,-,45.8206,-0%,12-May-21,45.8217,11-May-21,42.4968,18-May-20,2.69%,7.68%,-,-,-
Franklin India Corporate Debt Fund - Plan A - Direct - GrowthCorporate Bond Fund,3,855.49,0.05%,0.66%,1.86%,2.47%,0.90%,9.29%,9.11%,8.97%,9.04%,-,0.25%,0.72%,0.89%,-0.39%,-0.13%,0.34%,0.70%,1.31%,0.04%,-0.34%,1.08%,1.41%,0.97%,0.57%,2.38%,2.11%,2.12%,2.35%,1.88%,2.36%,0.86%,2.37%,2.28%,1.44%,1.56%,9.44%,7.61%,6.77%,6.62%,9.08%,8.64%,9.21%,8.39%,9.78%,9.16%,5.52%,17/22,19/22,19/21,16/21,20/22,16/20,11/19,0/0,0/0,0/0,,,,,,-,-,-,94.33%,40,-,5.67%,-,25.4469,-0%,12-May-21,25.448,11-May-21,23.4871,18-May-20,2.46%,7.07%,12.10%,20.00%,-
DSP Corporate Bond Fund - Regular Plan - GrowthCorporate Bond Fund,5,2648.81,0.04%,0.42%,1.21%,1.70%,0.52%,6.97%,8.91%,-,-,-,0.16%,0.74%,0.27%,-,-,-,-,-,-,-,-,-,1.01%,0.67%,2.48%,2.21%,2.23%,2.45%,1.98%,2.46%,0.96%,2.47%,2.38%,1.54%,1.71%,9.88%,8.03%,7.19%,7.15%,9.60%,8.99%,9.61%,8.71%,-,-,-,5/22,13/22,16/21,18/21,11/22,17/20,8/19,0/0,0/0,0/0,,,,,,-,-,-,93.18%,17,-,6.82%,-,25.1798,-0.01%,12-May-21,25.1811,11-May-21,23.3082,18-May-20,2.63%,7.83%,-,-,-
IDFC Corporate Bond Fund - Regular Plan - GrowthCorporate Bond Fund,4,22564.68,0.04%,0.82%,1.92%,1.97%,1.19%,8.42%,8.89%,8.62%,8.09%,-,0.18%,0.78%,0.40%,-,-,-,-,-,-,-,-,-,0.92%,-0.29%,2.33%,0.93%,4.26%,2.28%,2.01%,3.04%,1.79%,-,-,-,0.63%,10.31%,9.59%,-,-,-,-,-,-,-,-,-,12/22,15/22,15/21,15/21,12/22,17/20,13/19,10/15,11/14,0/0,,,,,,-,-,-,95.41%,296,-,4.58%,-,22.8079,-0.01%,12-May-21,22.8099,11-May-21,21.2587,18-May-20,2.62%,8.89%,15.92%,24.71%,52.50%
PGIM India Premier Bond Fund - GrowthCorporate Bond Fund,3,69.23,0.04%,0.80%,1.73%,2.05%,1.16%,7.60%,8.75%,7.77%,6.99%,7.55%,0.23%,0.70%,0.78%,-0.28%,-0.23%,0.32%,0.80%,1.32%,0.02%,-0.31%,1.07%,1.71%,0.97%,-0.18%,2.46%,1.06%,4.39%,2.41%,2.14%,2.99%,1.92%,-,-,-,0.80%,10.93%,10.08%,-,-,-,-,-,-,-,-,-,14/22,15/22,15/21,16/21,14/22,18/20,14/19,11/15,11/14,0/0,,,,,,-,-,-,94.33%,40,-,5.67%,-,13.7075,-0.02%,12-May-21,13.7099,11-May-21,12.4783,18-May-20,2.20%,6.72%,8.73%,14.25%,40.13%
Mirae Asset Corporate Bond Fund - Direct Plan - GrowthCorporate Bond Fund,-,119.54,0.04%,0.70%,-,-,0.96%,-,-,-,-,-,0.24%,0.72%,0.81%,-0.26%,-0.21%,0.34%,0.82%,1.34%,0.04%,-0.28%,1.10%,1.73%,0.94%,0.27%,2.28%,1.26%,4.47%,2.30%,2.33%,3.28%,2.06%,3.20%,3.29%,1.04%,1.22%,10.88%,11.40%,4.78%,5.44%,11.64%,8.53%,14.91%,-0.40%,8.68%,5.73%,4.31%,21/22,20/22,8/21,20/21,4/22,18/20,1/19,1/15,5/14,0/0,,,,,,-,-,-,99.88%,41,-,0.12%,-,12.3328,-0.02%,12-May-21,12.3352,11-May-21,11.5091,18-May-20,0.74%,2.21%,1.31%,4.17%,-
L&T Triple Ace Bond Fund - Direct Plan - GrowthCorporate Bond Fund,1,7532.1,0.04%,0.44%,1.84%,1.33%,1.17%,7.21%,11.67%,10.46%,8.66%,-,0.13%,0.27%,0.30%,0.21%,0.27%,0.45%,0.40%,0.48%,0.43%,0.31%,-6.29%,1.60%,0.97%,0.33%,2.34%,1.32%,4.53%,2.34%,2.39%,3.34%,2.11%,3.25%,3.38%,1.19%,1.31%,11.12%,11.61%,5.33%,6.06%,12.04%,8.70%,15.08%,-3.61%,-,-,-,11/22,21/22,20/21,11/21,21/22,19/20,19/19,15/15,14/14,0/0,,,,,,-,-,-,96.02%,78,-,3.98%,-,21.817,-0.01%,12-May-21,21.8194,11-May-21,20.4503,18-May-20,0.54%,1.80%,0.67%,2.96%,-
Franklin India Corporate Debt Fund - Plan A - GrowthCorporate Bond Fund,3,855.49,0.04%,0.61%,1.72%,2.19%,0.84%,8.67%,8.49%,8.36%,8.41%,9.13%,0.11%,0.24%,0.27%,0.18%,0.24%,0.41%,0.37%,0.45%,0.40%,0.28%,-6.32%,1.57%,-,-,-,-15.16%,-,-,-,-6.83%,-,-,-,-,-,-15.15%,-6.53%,-,-,-,-,-,-,-,-,-,11/22,21/22,20/21,11/21,21/22,19/20,19/19,15/15,14/14,0/0,,,,,,-,-,-,93.70%,95,-,6.30%,-,13.302,-0.02%,12-May-21,13.3045,11-May-21,12.1904,18-May-20,-2.59%,-,-,-,-
Mirae Asset Corporate Bond Fund - Regular Plan - GrowthCorporate Bond Fund,-,119.54,0.03%,0.66%,-,-,0.90%,-,-,-,-,-,0.26%,0.78%,0.66%,0.02%,-0.18%,0.43%,0.83%,1.33%,0.19%,0.02%,1.53%,2.07%,-,-,-,-15.16%,-,-,-,-6.83%,-,-,-,-,-,-15.15%,-6.53%,-,-,-,-,-,-,-,-,-,22/22,22/22,21/21,21/21,22/22,20/20,16/16,15/15,13/13,0/0,,,,,,-,-,-,88.85%,19,-,11.15%,-,12.1928,-0.02%,12-May-21,12.1954,11-May-21,11.4334,18-May-20,-2.59%,-,-,-,-
L&T Triple Ace Bond Fund - GrowthCorporate Bond Fund,1,7532.1,0.03%,0.41%,1.75%,1.15%,1.13%,6.85%,11.30%,10.12%,8.15%,8.07%,0.23%,0.73%,0.61%,-0.02%,-0.23%,0.38%,0.77%,1.28%,0.14%,-0.03%,1.47%,2.01%,0.90%,0.63%,2.81%,1.87%,2.62%,1.76%,2.71%,1.65%,2.13%,2.94%,3.73%,1.31%,1.54%,9.53%,9.85%,8.00%,8.34%,9.59%,9.24%,13.71%,8.40%,-,-,-,22/22,22/22,21/21,21/21,22/22,20/20,16/16,15/15,13/13,11/11,,,,,,-,-,-,-,-,-,100.00%,-,12.8683,-0.02%,12-May-21,12.8709,11-May-21,12.0247,18-May-20,,,,,
