Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
HDFC Equity Opportunities Fund - Series II - 1126D May - GrowthMulti Cap Fund,-,69.99,2.01%,0.58%,-0.76%,18.51%,7.49%,44.61%,6.53%,4.33%,-,-,2.20%,0.21%,-0.76%,2.59%,-1.90%,5.85%,7.38%,1.55%,1.14%,3.78%,7.11%,3.92%,1.57%,13.22%,18.64%,7.62%,5.75%,-21.13%,3.88%,-5.83%,-0.12%,5.35%,0.27%,4.23%,30.76%,43.85%,3.73%,-1.06%,38.24%,-2.24%,12.03%,66.59%,-2.30%,37.98%,-35.06%,17.37%,12/27,14/27,8/27,15/27,12/27,11/27,11/25,7/18,6/8,0/0,Multi Cap Fund,25.98,1.04,0.03,-7.89,0.01,-,98.06%,79.0,-,-,-,1.94%,-,22.1681,0.85%,10-May-21,22.1681,10-May-21,12.5204,18-May-20,29.69%,36.86%,39.81%,47.28%,-
HDFC Equity Opportunities Fund - Series II - 1126D May - GrowthMulti Cap Fund,-,73.63,2.01%,0.58%,-0.76%,18.51%,7.49%,44.61%,6.53%,4.33%,-,-,2.27%,0.20%,-0.67%,2.66%,-1.85%,5.93%,7.53%,1.60%,1.29%,3.87%,7.24%,4.04%,0.83%,5.33%,-,-,-,-,-,-,-,-,-,-,31.68%,45.22%,4.10%,-0.48%,38.30%,-2.24%,12.04%,67.32%,-4.52%,-,-,-,13/28,13/28,9/28,15/28,13/28,12/28,12/26,8/19,6/9,8/8,Multi Cap Fund,24.5,1.11,0.35,-0.83,0.08,-,98.06%,79.0,-,-,-,1.94%,-,20.9518,0.85%,10-May-21,20.9518,10-May-21,11.9088,18-May-20,29.57%,30.94%,27.41%,-,-
ICICI Prudential Multicap Fund - Direct Plan - GrowthMulti Cap Fund,2,5736.8,2.01%,1.56%,1.58%,27.97%,12.75%,67.91%,14.28%,11.20%,14.16%,-,2.38%,1.24%,-0.21%,8.69%,-2.73%,5.53%,11.14%,2.39%,-2.11%,4.38%,5.55%,4.03%,2.13%,11.54%,18.77%,7.43%,5.88%,-21.02%,4.03%,-5.70%,0.02%,5.64%,0.60%,4.58%,-0.40%,2.90%,2.31%,-2.79%,5.08%,-,-,-,-,-,-,-,11/27,16/27,21/27,12/27,14/27,12/27,19/25,9/18,7/8,0/0,Multi Cap Fund,19.38,0.89,0.28,-1.46,0.06,-,97.48%,58.0,-,-,-,2.52%,-,9.77,1.64%,10-May-21,9.77,10-May-21,5.95,19-May-20,29.18%,30.26%,26.30%,-,-
ICICI Prudential Multicap Fund - GrowthMulti Cap Fund,2,5736.8,2.00%,1.48%,1.37%,27.39%,12.40%,66.32%,13.20%,10.14%,12.99%,12.62%,2.36%,1.21%,-0.25%,8.65%,-2.78%,5.46%,11.08%,2.33%,-2.17%,4.31%,5.48%,3.97%,0.85%,5.43%,-,-,-,-,-,-,-,-,-,-,7.19%,-,-,-,-,-,-,-,-,-,-,-,12/28,17/28,22/28,13/28,15/28,13/28,20/26,9/19,7/9,6/8,Multi Cap Fund,20.01,0.94,0.52,3.11,0.11,-,97.48%,58.0,-,-,-,2.52%,-,10.07,1.59%,10-May-21,10.07,10-May-21,6.11,18-May-20,29.07%,35.69%,38.04%,43.94%,94.95%
Baroda Multi Cap Fund - Plan B (Direct) - GrowthMulti Cap Fund,4,980.13,1.97%,2.11%,5.45%,26.88%,13.14%,68.02%,20.46%,11.71%,14.18%,-,2.20%,-1.55%,-2.02%,12.02%,-1.73%,6.34%,13.83%,-0.67%,-5.07%,10.45%,2.06%,5.34%,1.07%,5.71%,19.05%,2.95%,3.47%,-18.73%,3.08%,-4.50%,1.13%,5.83%,0.25%,4.29%,-0.37%,3.11%,3.02%,-1.42%,6.01%,-,-,-,-,-,-,-,21/27,21/27,18/27,17/27,15/27,13/27,0/0,0/0,0/0,0/0,Multi Cap Fund,20.2,0.95,0.53,3.25,0.11,95.00%,97.33%,42.0,-,-,-,2.67%,-,13.9369,0.94%,10-May-21,13.9369,10-May-21,8.3463,18-May-20,28.82%,36.34%,38.06%,47.15%,-
Sundaram Multi Cap Fund Series I - Direct Plan - GrowthMulti Cap Fund,-,118.8,1.96%,2.13%,0.91%,22.84%,9.19%,60.13%,21.62%,-,-,-,2.22%,-1.49%,-1.97%,12.06%,-1.68%,6.39%,13.90%,-0.61%,-5.02%,10.51%,2.12%,5.39%,1.16%,5.90%,19.16%,3.05%,3.55%,-18.65%,3.15%,-4.43%,1.21%,6.14%,0.70%,4.77%,6.58%,-,-,-,-,-,-,-,-,-,-,-,22/28,24/28,19/28,18/28,16/28,14/28,0/0,0/0,0/0,0/0,,,,,,,95.00%,97.33%,42.0,-,-,-,2.67%,-,15.31,0.85%,10-May-21,15.33,15-Feb-21,9.18,18-May-20,28.64%,-,-,-,-
Sundaram Multi Cap Fund Series II - Direct Plan - GrowthMulti Cap Fund,-,70.03,1.96%,2.12%,0.90%,22.87%,9.18%,60.07%,21.60%,-,-,-,5.29%,-1.21%,-3.67%,7.13%,-0.94%,8.89%,15.88%,-2.31%,-6.11%,10.27%,0.32%,7.86%,0.88%,8.33%,20.06%,8.88%,21.56%,-26.41%,7.20%,-4.68%,-0.89%,3.15%,0.43%,-1.13%,7.11%,0.04%,3.92%,-3.14%,1.91%,-,-,-,-,-,-,-,17/27,8/27,15/27,11/27,16/27,14/27,10/25,10/18,4/8,0/0,,,,,,,-,96.55%,25.0,-,-,-,3.45%,-,13.3565,0.93%,10-May-21,13.3883,04-Mar-21,8.1678,18-May-20,28.52%,31.30%,32.18%,41.78%,-
Baroda Multi Cap Fund - Plan A - GrowthMulti Cap Fund,4,980.13,1.96%,2.05%,5.24%,26.35%,12.81%,66.71%,19.52%,10.76%,13.17%,10.33%,5.30%,-1.15%,-3.62%,7.19%,-0.89%,8.96%,15.94%,-2.26%,-6.06%,10.34%,0.38%,7.92%,0.96%,8.52%,20.30%,9.10%,21.80%,-26.27%,7.44%,-4.92%,-0.65%,3.37%,0.69%,-0.87%,8.06%,0.41%,4.38%,-1.36%,2.75%,-,-,-,-,-,-,-,23/28,22/28,21/28,20/28,20/28,15/28,18/26,13/19,4/9,3/8,,,,,,,-,96.55%,25.0,-,-,-,3.45%,-,14.87,0.81%,10-May-21,14.91,15-Feb-21,8.99,18-May-20,27.83%,29.99%,30.24%,38.09%,106.71%
Sundaram Multi Cap Fund Series I - GrowthMulti Cap Fund,-,118.8,1.95%,2.08%,0.77%,22.49%,8.97%,59.23%,20.94%,-,-,-,3.33%,-1.05%,3.61%,3.84%,-3.75%,4.96%,13.81%,-0.82%,-3.56%,8.36%,4.37%,5.04%,2.93%,9.65%,19.83%,4.74%,20.71%,-31.03%,6.62%,1.36%,-,-,-,-,10.41%,14.60%,4.08%,-8.36%,48.73%,5.70%,2.49%,48.93%,7.23%,46.01%,-30.91%,14.12%,22/27,22/27,20/27,18/27,19/27,15/27,16/25,12/18,3/8,0/0,,,,,,,-,95.27%,37.0,1.20%,1,-,3.53%,-,16.233,0.65%,10-May-21,16.233,10-May-21,8.193,18-May-20,27.81%,34.40%,35.17%,41.61%,134.04%
Sundaram Multi Cap Fund Series II - GrowthMulti Cap Fund,-,70.03,1.95%,2.07%,0.76%,22.53%,8.97%,59.18%,20.92%,-,-,-,3.35%,-0.98%,3.68%,3.89%,-3.70%,4.98%,13.83%,-0.81%,-3.54%,8.38%,4.39%,5.07%,3.17%,10.23%,20.47%,5.30%,21.39%,-30.66%,7.19%,1.90%,-,-,-,-,10.68%,15.52%,5.17%,-7.42%,49.83%,6.43%,3.19%,49.77%,7.04%,-,-,-,19/27,15/27,22/27,22/27,20/27,16/27,6/25,0/0,0/0,0/0,,,,,,,-,95.27%,37.0,1.20%,1,-,3.53%,-,15.658,0.65%,10-May-21,15.658,10-May-21,8.025,18-May-20,27.24%,32.27%,36.18%,45.81%,-
