Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan
Sundaram Equity Fund - Direct Plan,0,666.7,1.45,0.75,2.69,24.8,12.67,66.65,0.0,0.0,0.0,0.0,-0.64,0.99,1.82,8.27,-1.19,5.62,10.2,2.36,1.16,4.6,7.58,4.99,0.62,14.09,21.73,7.54,16.29,-33.84,6.19,-6.8,0.44,3.99,7.03,2.14,12.2,9.68,6.96,1.67,29.57,10.93,3.62,50.75,6.01,0.0,0.0,0.0,25/27,18/27,17/27,24/27,24/27,22/27,12/25,6/18,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.3,56.0,0.0,-,0.0,3.97,1.73,15.42,0.52,10-May-21,15.71,08-Apr-21,8.86,18-May-20,23.49,31.37,0.0,0.0,0.0,Direct
Sundaram Equity Fund,0,666.7,1.41,0.61,2.33,23.79,12.07,63.65,0.0,0.0,0.0,0.0,-0.63,1.0,1.82,8.27,-1.18,5.63,10.22,2.38,1.17,4.62,7.59,5.01,0.69,14.26,21.93,7.72,16.48,-33.69,6.35,-6.99,0.58,4.18,7.21,2.31,11.84,8.63,5.79,0.67,28.01,9.72,2.93,49.85,5.39,36.53,-27.41,21.78,23/27,23/27,19/27,26/27,26/27,23/27,13/25,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.3,56.0,0.0,-,0.0,3.97,1.73,14.5,0.55,10-May-21,14.57,10-Mar-21,8.86,18-May-20,23.17,31.18,35.94,0.0,0.0,Regular
SBI Equity Opportunities Fund – Series IV - Regular Plan,0,22.46,2.13,2.97,4.84,28.43,16.19,69.05,18.72,8.72,14.78,0.0,1.86,-0.69,-0.34,2.96,-1.6,6.45,8.82,1.82,0.1,2.24,-0.11,1.25,0.34,12.32,20.55,14.27,12.7,-15.99,4.75,4.96,3.27,1.18,1.07,-8.35,11.04,20.43,11.24,-3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27/27,27/27,11/27,8/27,10/27,9/27,3/25,4/18,0/0,0/0,Multi Cap Fund,19.91,0.83,0.27,1.21,0.06,0.0,98.51,39.0,0.0,-,0.0,1.49,0.0,10.95,1.92,10-May-21,10.95,10-May-21,6.06,19-May-20,30.35,46.5,53.81,0.0,0.0,Regular
SBI Equity Opportunities Fund – Series IV - Direct Plan,0,22.46,2.14,3.01,4.94,28.78,16.38,70.16,19.52,9.54,15.88,0.0,1.61,0.52,0.76,7.82,-1.89,6.44,8.21,1.91,0.12,1.98,4.37,3.01,2.63,6.71,16.17,4.43,-6.34,5.89,1.61,5.48,0.36,3.39,4.53,-2.25,12.56,18.5,9.24,-11.53,36.8,1.94,-1.68,46.29,2.65,25.68,-30.03,14.19,7/27,7/27,5/27,16/27,11/27,8/27,21/25,16/18,0/0,0/0,Multi Cap Fund,20.01,0.89,0.57,3.33,0.13,0.0,98.9,55.0,0.0,-,0.0,1.1,0.0,17.75,1.19,10-May-21,17.75,10-May-21,9.74,18-May-20,30.66,35.6,37.79,49.39,0.0,Direct
Nippon India India Opportunities Fund - Series A - Direct Plan,0,764.88,4.16,3.61,3.52,39.3,17.14,83.63,13.03,0.0,0.0,0.0,1.62,-0.73,0.22,4.85,-1.15,5.86,10.95,1.32,-0.58,2.96,5.53,4.92,0.84,4.33,22.96,6.91,20.19,-25.19,5.63,1.46,2.83,5.49,0.0,0.0,6.39,16.51,16.77,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27/28,26/28,15/28,14/28,17/28,3/28,4/26,0/0,0/0,0/0,Multi Cap Fund,20.69,0.88,-0.1,-9.02,-0.02,0.0,99.5,95.0,0.0,-,0.0,0.5,0.0,145.75,1.0,10-May-21,145.75,10-May-21,83.26,18-May-20,35.52,55.12,61.09,0.0,0.0,Direct
Nippon India India Opportunities Fund - Series A,0,764.88,4.15,3.55,3.34,38.81,16.85,82.3,12.12,0.0,0.0,0.0,1.64,-0.67,0.28,4.89,-1.1,5.92,11.02,1.38,-0.52,3.02,5.59,5.0,0.89,4.54,23.3,7.09,20.4,-25.09,5.76,1.72,3.0,5.88,0.0,0.0,6.71,17.43,17.85,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/27,25/27,16/27,13/27,17/27,3/27,5/25,0/0,0/0,0/0,Multi Cap Fund,19.92,0.92,0.37,-0.39,0.08,0.0,99.5,95.0,0.0,-,0.0,0.5,0.0,135.46,1.0,10-May-21,135.57,03-Mar-21,77.98,18-May-20,35.28,33.86,0.0,0.0,0.0,Regular
Nippon India Capital Builder Fund IV - Series B - Direct Plan,0,35.09,2.4,2.65,5.8,26.45,13.46,71.08,12.32,4.17,0.0,0.0,3.26,1.3,0.17,7.28,-1.41,5.85,10.89,0.92,-1.67,3.74,4.33,4.86,2.45,8.23,22.68,9.49,18.0,-23.34,5.34,-3.5,1.26,6.43,-0.37,-3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5/27,5/27,3/27,6/27,3/27,7/27,4/25,2/18,0/0,0/0,Multi Cap Fund,20.35,0.94,0.23,-3.18,0.05,0.0,98.96,73.0,0.0,-,0.0,0.55,0.49,64.45,0.81,10-May-21,64.47,16-Feb-21,38.14,18-May-20,30.84,43.84,0.0,0.0,0.0,Direct
Nippon India Capital Builder Fund IV - Series B,0,35.09,2.38,2.58,5.6,26.07,13.15,70.32,11.79,3.36,0.0,0.0,3.31,1.44,0.32,7.41,-1.29,6.0,11.04,1.06,-1.53,3.9,4.48,5.01,2.53,8.47,22.93,9.69,18.18,-23.17,5.57,-3.32,1.41,6.66,-0.06,-3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5/28,5/28,4/28,6/28,3/28,8/28,5/26,3/19,0/0,0/0,Multi Cap Fund,19.68,0.74,0.64,5.94,0.17,0.0,98.96,73.0,0.0,-,0.0,0.55,0.49,62.49,0.73,10-May-21,62.49,10-May-21,37.67,18-May-20,30.7,43.53,0.0,0.0,0.0,Regular
Kotak India Growth Fund - Series VII - Direct Plan,0,41.2,1.1,-1.0,-1.95,15.06,6.68,30.27,14.81,0.0,0.0,0.0,2.18,-0.4,-1.64,3.84,-2.11,5.93,12.12,-0.54,-0.88,4.99,2.42,5.27,3.6,10.64,20.5,8.7,19.04,-27.35,5.12,-0.31,1.93,5.15,-1.69,-4.79,15.68,3.52,4.56,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11/28,25/28,27/28,26/28,25/28,25/28,25/26,16/19,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,88.54,39.0,2.23,3,0.0,9.2,0.0,14.03,0.5,10-May-21,14.12,10-Mar-21,8.64,18-May-20,20.18,19.3,18.29,0.0,0.0,Direct
Kotak India Growth Fund - Series VII,0,41.2,1.08,-1.09,-2.2,14.45,6.27,28.87,13.57,0.0,0.0,0.0,2.19,-0.36,-1.59,3.88,-2.07,5.98,12.17,-0.5,-0.84,5.04,2.46,5.31,3.64,10.77,20.72,8.9,19.27,-27.26,5.32,-0.58,2.11,5.38,-1.46,-4.55,15.97,4.38,5.13,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11/28,25/28,27/28,26/28,25/28,25/28,25/26,16/19,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,88.54,39.0,2.23,3,0.0,9.2,0.0,11.53,0.6,10-May-21,11.72,15-Feb-21,8.34,19-May-20,20.03,18.98,17.59,0.0,0.0,Regular
