Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan,Category
HDFC Arbitrage Fund - Wholesale,2,6088.67,0.09,0.25,0.98,1.77,0.54,3.18,4.3,4.9,5.27,6.61,0.1,0.47,0.43,0.32,0.18,0.35,0.05,0.43,0.45,0.29,0.11,0.28,0.57,0.84,0.9,0.72,0.91,1.33,1.34,1.44,1.7,1.36,1.45,1.35,1.38,3.56,5.96,5.65,5.34,6.71,7.56,7.94,8.3,9.03,7.7,6.74,13/27,23/27,20/27,12/27,21/27,10/25,14/23,14/18,12/16,0/0,1.42,1.73,-0.63,-4.94,-0.01,0,67.93,138,23.12,35,0,8.95,0,15.67,0,17-May-21,15.67,12-May-21,15.04,20-May-20,2.04,4.68,0,0,0,Regular,Arbitrage Fund
HDFC Arbitrage Fund - Direct Plan,2,6088.67,0.1,0.3,1.12,2.04,0.61,3.74,4.85,5.44,5.81,0,0.07,0.36,0.27,0.23,0.09,0.21,-0.04,0.36,0.38,0.32,0.2,0.25,0.43,0.48,0.51,0.8,0.86,1.09,0.98,1.28,1.64,1.37,1.31,1.43,0.85,2.97,5.3,2.94,0,0,0,0,0,0,0,0,10/27,12/27,9/27,2/27,9/27,4/25,6/23,6/18,2/16,2/10,1.17,1.43,1.55,-1.53,0.01,0,70,14,0.11,1,0,29.89,0,11.18,0.01,17-May-21,11.18,12-May-21,10.84,20-May-20,2.28,4.91,8.28,15.59,0,Direct,Arbitrage Fund
DSP Arbitrage fund - Direct Plan,2,1378.51,0.12,0.32,1.06,1.89,0.6,3.74,5.09,5.76,0,0,0.07,0.42,0.44,0.34,0.18,0.31,0.1,0.45,0.41,0.27,0.12,0.28,0.49,0.85,0.88,0.7,1.07,1.28,1.17,1.51,1.79,1.54,1.63,1.54,1.3,3.64,6.19,6.22,5.54,6.36,7.33,8.56,9.26,9.32,7.87,5.56,9/27,14/27,7/27,6/27,14/27,2/25,2/23,2/18,4/16,0/0,1.12,1.01,1.61,-0.56,0.02,0,73.85,128,18.49,8,0,7.65,0,26.16,0.02,17-May-21,26.16,12-May-21,25.19,20-May-20,2.34,5.15,8.54,15.97,0,Direct,Arbitrage Fund
DSP Arbitrage fund,2,1378.51,0.11,0.26,0.92,1.61,0.53,3.15,4.48,5.12,0,0,0.11,0.47,0.48,0.38,0.23,0.38,0.15,0.51,0.47,0.33,0.18,0.34,0.57,1,1.07,0.89,1.27,1.47,1.35,1.68,1.95,1.69,1.82,1.73,1.53,4.44,6.89,7.01,6.15,6.99,7.89,9.14,9.09,0,0,0,12/28,15/28,5/28,6/28,15/28,2/26,3/24,4/19,4/17,0/0,1.17,0.72,0.5,-1.1,0.01,0,73.85,128,18.49,8,0,7.65,0,24.86,0.02,17-May-21,24.87,12-May-21,24.11,20-May-20,2.32,4.94,8.28,15.66,0,Regular,Arbitrage Fund
SBI Arbitrage Opportunities Fund - Regular Plan,1,3680.93,0.07,0.22,0.92,1.59,0.47,2.66,4.12,4.84,5.29,6.77,0.06,0.46,0.45,0.31,0.15,0.31,0.03,0.36,0.41,0.22,0.08,0.12,0.52,0.83,0.76,0.6,0.68,1.59,1.16,1.52,1.88,1.34,1.53,1.38,1.31,3.34,6.02,6.18,5.32,6.42,7.29,8.63,9.13,9.11,8.34,5.76,4/27,16/27,24/27,24/27,22/27,23/25,21/23,17/18,15/16,10/10,0,0,0,0,0,0,65.83,39,0,-,0,100.3,0,26.9,-0.02,17-May-21,26.91,14-May-21,25.92,20-May-20,1.21,2.89,0,0,0,Regular,Arbitrage Fund
SBI Arbitrage Opportunities Fund - Direct Plan,1,3680.93,0.07,0.26,1.03,1.81,0.53,3.12,4.59,5.36,5.83,0,0.07,0.32,0.35,0.28,0.2,0.24,-0.04,0.31,0.38,0.3,0,0,0.39,0.66,0.61,0,0,0,0,0,0,0,0,0,1.04,0.8,0,0,0,0,0,0,0,0,0,0,22/27,15/27,14/27,19/27,13/27,18/25,17/23,15/18,11/16,6/10,0,0,0,0,0,1067,66.87,48,4.49,3,19.55,76.3,0,21.95,-0.02,17-May-21,21.96,12-May-21,21.12,20-May-20,1.77,3.96,6.99,0,0,Direct,Arbitrage Fund
JM Arbitrage Fund - (Direct),1,53.82,0.1,0.23,0.74,1.29,0.46,2.27,3.64,4.46,5.16,0,0.13,0.55,0.56,0.41,0.25,0.41,0.08,0.44,0.48,0.38,0.14,0.32,0.68,1.13,1,0.88,1.32,1.62,1.48,1.66,1.99,1.53,1.73,1.63,1.75,4.56,6.8,6.65,6.29,7.24,8.13,8.67,9.86,0,0,0,22/28,8/28,10/28,9/28,11/28,5/26,5/24,2/19,2/17,0/0,1.24,,1.09,,0.01,1674.17,68.56,128,11.81,16,13.76,5.87,0,11.96,0.01,17-May-21,11.96,12-May-21,11.69,17-Jul-20,2.21,4.53,7.67,14.47,0,Direct,Arbitrage Fund
JM Arbitrage Fund,1,53.82,0.09,0.2,0.64,1.09,0.4,1.86,3.23,4.05,4.73,6.47,0.07,0.44,0.45,0.38,0.23,0.32,0.07,0.43,0.43,0.29,0.09,0.25,0.51,0.91,0.86,0.72,1.16,1.82,1.31,1.51,1.77,1.47,1.56,1.43,1.38,4.3,6.14,6.05,5.84,6.7,7.88,4.48,0,0,0,0,7/27,6/27,17/27,13/27,10/27,9/25,9/23,12/18,9/16,8/10,1.16,1.57,1.34,-2.13,0.01,453.21,68.1,139,0,-,24.92,6.98,0,24.61,0,17-May-21,24.61,12-May-21,23.73,20-May-20,2.08,4.6,7.99,0,0,Regular,Arbitrage Fund
BOI AXA Arbitrage Fund - Direct Plan,1,32.27,0.05,0.18,0.78,1.39,0.46,3.03,4.16,0,0,0,0.11,0.56,0.56,0.43,0.2,0.42,0.18,0.56,0.49,0.39,0.21,0.39,0.68,1.07,1.2,1.01,1.58,2.08,1.53,1.59,2.08,1.66,0,0,1.71,5.6,7.21,0.11,0,0,0,0,0,0,0,0,28/28,28/28,28/28,28/28,28/28,26/26,24/24,0/0,0/0,0/0,0,0,0,0,0,0,65.44,13,0,-,0,34.56,0,15.23,-0.05,17-May-21,15.24,14-May-21,14.67,20-May-20,0.23,0.63,0,0,0,Direct,Arbitrage Fund
BOI AXA Arbitrage Fund,1,32.27,0.04,0.12,0.6,1.01,0.37,2.24,3.38,0,0,0,0.08,0.53,0.47,0.24,0.17,0.25,0.11,0.42,0.37,0.28,0.17,0.29,0.61,0.73,0.81,0.73,1.25,1.82,1.22,1.41,1.84,0,0,0,1.3,4.32,5.16,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,65.01,39,0,-,0,100.32,0,30.46,-0.03,17-May-21,30.46,12-May-21,29.29,20-May-20,0,0,0,0,0,Regular,Arbitrage Fund
Sundaram Arbitrage Fund - Direct Plan,0,56.76,0.16,0.25,1.28,2.14,0.76,3.89,0,0,0,0,0.08,0.45,0.44,0.41,0.21,0.35,0.12,0.45,0.44,0.27,0.12,0.23,0.53,0.92,0.95,0.76,1.04,1.91,1.35,1.45,1.82,1.42,1.41,1.77,1.39,4.38,6.24,5.98,6.43,0.2,0,0,0,0,0,0,14/27,2/27,5/27,3/27,7/27,1/25,1/23,0/0,0/0,0/0,1.14,-0.01,1.5,1.75,-1.41,0,136.92,88,0,-,56.66,143.92,0,27.13,0.05,17-May-21,27.13,17-May-21,26.52,09-Jul-20,2.47,5.5,0,0,0,Direct,Arbitrage Fund
Sundaram Arbitrage Fund,0,56.76,0.14,0.18,1.1,1.77,0.66,3.16,0,0,0,0,0.11,0.5,0.49,0.45,0.26,0.41,0.17,0.5,0.5,0.33,0.16,0.28,0.61,1.07,1.12,0.91,1.18,2.07,1.49,1.58,1.95,1.55,1.55,1.93,1.63,5.02,6.8,6.65,7.03,0.21,0,0,0,0,0,0,13/28,1/28,2/28,1/28,3/28,1/26,1/24,0/0,0/0,0/0,2.46,0.64,-0.8,-2.67,-0.03,0,136.92,88,0,-,56.66,143.92,0,26.11,0.05,17-May-21,26.11,17-May-21,25.62,09-Jul-20,2.43,0,0,0,0,Regular,Arbitrage Fund
Principal Arbitrage Fund - Regular Plan,0,9.06,0.06,0.16,0.72,1.18,0.36,1.63,2.57,1.38,2.94,0,0.09,0.65,0.39,0.46,0.13,0.4,0.11,0.55,0.6,0.56,0.22,0.58,0.74,0.9,1.11,1.26,0.63,0,0,0,0,0,0,0,1.66,3.75,0,0,0,0,0,0,0,0,0,0,26/28,24/28,24/28,25/28,26/28,25/26,23/24,19/19,17/17,0/0,0,0,0,0,0,1052,65.46,84,26.63,4,0,7.91,0,25.59,-0.03,17-May-21,25.59,12-May-21,24.84,20-May-20,1.13,2.89,5.58,11.74,0,Regular,Arbitrage Fund
